Protein IDs	Only identified by site
A0A0C4DH68;A0A075B6R9	
A0A075B6S3;P06310	
A0A075B6S5	
A0A0E3D6N1;A0A075B6S9	
Q9C0C7;A0A075B6T1;Q9C0C7-6;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5	
Q9NVX7;Q9NVX7-2;A0A075B6T4;E9PQ38;E9PL18	
A0A075B716;H0YN88;H0YN73;H3BNC9	+
A0A075B730;A0A087X1U6	
A0A075B738;A0A075B727;A0A075B728;A0A075B737	
P82921;A0A075B746	
A0A087WX83;A0A075B749;A0A087WVF8;Q5VU43-3;Q5VU43-8;Q5VU43-12;Q5VU43-9;A0A087WYE4;E9PS60;A0A087WWY1;A0A087X229;A0A087WVQ4;H0YCY0;E9PNE0;A0A087WWK4;H0YCH7;A0A087WWI2;E9PJK3;A0A087X0I1;H0YEW6	
A0A075B762;Q8N660;A0A075B6G5;A0A087WUL8	+
Q8WWW0;A0A075B763;Q8WWW0-3;Q8WWW0-2;Q8TEK8	
O00623;A0A075B773;K7ELY8	
A0A075B7B1;H0YL34;C9JIE4	
A0A075B7B5;P0DMP2;P0DJJ0;E9PDX4;A0A087WW56;A0A087X0L1;A0A075B743;A0A075B7C8;A0A087X1G6	
A0A075B7B8	
A0A075B7E8	+
A0A075B7F0	+
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2;A6NF01;C9JFL1	
Q9HB09;A0A087WSV0;I6LJZ7;Q9HB09-3;M0QZM6;M0R1Z8;I6LJZ9	
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6;E9PLR0;E9PLE9;H0YEG8;H0YD18;E9PM22;E9PJP3	
Q16881;Q16881-3;Q16881-4;A0A087WSW9;A0A087WSY9;F8W809;Q16881-5;Q16881-2;E9PIR7;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8	
A0A087WSX4;A0A0C4DH42	
A0A087WSY4	
A0A087WSY6	
A0A0G2JQJ0;A0A087WSZ0	
Q9Y5G9;A0A087WT05;A0A087WTI2;Q9Y5G9-2	
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1;A0A087X247	
A0A087WT20;Q9NV06;B3KME9;E5RHM4;A0A087X1F8;Q9NV06-2	
A0A087WT44;P30519-2;I3L1Y2	
P19237;A0A087WT47;G3V489;G3V4F8;G3V3L5	
A0A087WT53;A0A087WXD2;H7C5T8;H7C4S7	
Q0VGL1;A0A087WT92;A0A087WVU0;A0A087WV46;C9JXA7	
Q9H0W9;A0A087WT99;Q9H0W9-2;Q9H0W9-4;Q9H0W9-3;E9PPB5;E9PQS1;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1	
P08123;A0A087WTA8	
A0A087WTF0;A2A3K4-2;A2A3K4	
A0A087WTG3	+
Q86T75;A0A087WTH4;A0A087WVG8;A0A087WUF5;A0A087WVA0;H7BY70;Q86T75-2	+
A0A087WXF6;A0A087WTI3	+
P11509;Q16696;A0A087WTI7	
A0A087WTJ2;Q96F15;Q96F15-2;A0A0D9SFP0	
Q12913;A0A087WTK0;A0A087WVC6;Q12913-2	
A0A087WTM7;A8MUN2	
P18283;H0YJK8;A0A087WTS0	
Q96MY1;A0A087WTU5;A0A087X0N3;Q96MY1-2	
A0A087WTU7;A0A087WV90;Q4G0X0;H0Y864;H0Y3E8;Q14172;Q14174;A0A0B4J1W6;A0A0C4DH61	
Q8TCU4;A0A087WV20;A0A087WTU9;A0A087WZY3;Q8TCU4-3;Q8TCU4-2;H7C1D9	
Q96T88;Q96T88-2;A0A087WVR3;A0A087WTW0;A0A087WWG9	
Q92504;A0A087WTX2;A2AAT0	
A0A087WTX5;A0A0C4DH73;A0A0B4J2E7	
Q9H227;A0A087WTY7;A0A087WWR5;Q9H227-2	
Q96RQ1;A0A087WU02;H0YI50;F8VPA6;F8W0R1;H0YI58;F8VR88;F8VUZ2;F8VRW9;H0YHS0;H0YHJ8	
P02724;P02724-3;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-2	
Q9C0E4;A0A087WU38;A0A087WX15;Q9C0E4-2;A0A087WYB3;Q9C0E4-3	
Q9H0U3;A0A087WU53;Q9H0U3-2	
P09884;A0A087WU64;A6NMQ1	
Q8NET6;A0A087WU70;Q8NET6-2	
P21580;D3TTY5;A0A087WU80;A0A087WXL5;A0A087X1N1;A0A087WVN3;Q5VXQ8;Q5VXQ9	
A0A087WU81	+
A0A087WU91;A0A0A0MS15	
A0A087WUB1;Q6ZRS4;Q6ZRS4-2;Q6ZRS4-3;Q6ZRS4-4	+
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	
Q15005;A0A087WUC6;E9PI68;E9PL01;E9PRB9;H0YE04	
A0A087WUD1;Q6DD87	
A0A087WUE5;O15467	
P09038;A0A087WUF6;P09038-3;P09038-1	
P28715;A0A087WUH0;P28715-2	
Q7Z4K8;Q5VT61;A0A087WUH1;Q7Z4K8-4;Q7Z4K8-3;Q7Z4K8-2;Q7Z4K8-5;F5GYK0;A0A0A0MS35	
P34925;P34925-2;H0Y8A4;A0A096LNL3;A0A087WUK1;H7C4P6	
O14979;A0A087WUK2;O14979-3;O14979-2	
P13056;A0A087WUK4;P13056-2;P13056-3	
Q5PRF9;A0A087WZT0;A0A087WUK6;M0QZ22;M0R0X3;M0QY61;M0QXV2	
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2;I3L252;E9PJG8;E9PQR1	
A0A087WUL2;A0A087WXQ8;A0A087WY10	+
Q86TG7;Q86TG7-2;A0A087WZG9;B4DSP0;A0A087WXK2;A0A087WUL4;A0A087WX23;A0A087WYS2	
Q9BSM1;A0A087WUL5;Q9BSM1-3	
A0A087WUM0;A0A087X1F5;P57105;A0A087WX56;A0A087WTA2	
P07203;A0A087WUQ6;P07203-2	
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4	
P01880;A0A087WUS7;A0A0A0MS09;P01880-2	
O60841;A0A087WUT6	
P47974;A0A087WUU9	
Q9Y3M2;A0A087WUW0;B0QY54	
Q9NXU5;A0A087WUW9;A0A0B4J222;R4GN67	
Q13936;Q13936-12;A0A087X293;A0A087X0E8;A0A087WWK5;A0A087WUZ0;A0A087WXD3;F5H522;A0A0A0MSA1;A0A0A0MR67;F5GY28;E9PDI6;Q13936-17;Q13936-19;Q13936-35;Q13936-37;Q13936-23;Q13936-22;Q13936-21;Q13936-20;Q13936-16;Q13936-32;Q13936-30;Q13936-31;Q13936-28;Q13936-36;Q13936-33;Q13936-18;Q13936-11;Q13936-7;Q13936-6;Q13936-5;Q13936-4;Q13936-8;Q13936-3;Q13936-34;Q13936-2;Q13936-15;Q13936-29;Q13936-25;Q13936-27;Q13936-24;Q13936-13;Q13936-14;Q13936-10;Q13936-26;Q13936-9;A0A087WZV3;F5H638;Q59GD8;A0A087WUX4;H7C4S8	
A0A087WUZ3;F8W6C1	+
Q99417;A0A087WV05;A0A0D9SEI7	
Q8IYS5-2;A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A0G2JMM7;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7	
Q9H299;A0A087WV23;Q5T123	
A0A087WV24;P20711;P20711-3;A0A087WU57;H7BZF7;P20711-4;P20711-2;F8WER1	
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1	
A0A087WV47;A0A0B4J1U8	
P60827;A0A087WV55	
P46013;A0A087WV66;P46013-2	
O00124;A0A087WV67;A0A087WUA4;A0A087WT23;O00124-2;O00124-3	
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;J3KSI4;I3L1D2;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261	
P62341;A0A087WVA1;Q6IAK0;F8WBD0	
A0A087WVD1	
Q9HBZ2;A0A087WVE9;Q9HBZ2-2;Q7Z3A3	
Q9NZM3;A0A087WVF7;Q9NZM3-2;Q9NZM3-4;Q9NZM3-3;E7EPJ2;H7BZD4;F8W719	
Q5U651;A0A087WVG2;M0R148	
Q5JPI9;A0A087WVN1;G3V238	
P0C024;A0A087WVP7;P0C024-2	
Q00610;A0A087WVQ6;Q00610-2;J3KS13;K7EJJ5;J3KSQ2;J3KRF5;J3QL20;A0A087WV74;F5H5N6	
A0A087WVS8;Q70IA6;Q70IA6-3;Q70IA6-2	
Q9C0H9;Q9C0H9-5;A0A087WVV7;A0A087X165;Q9C0H9-2;Q9C0H9-4	
A0A087WVW2;P01860;A0A075B6N8;A0A0A0MS10;P01817	
O00221;Q7LC14;A0A087WVX9;H0Y4W4;H3BNC2	
P20292;A0A087WW23	
A0A087WW54;Q96QD5;Q96QD5-2	
A0A087WW55;P07477;CON__P07477;E7EQ64;Q8NHM4;H0Y8D1;A6XGL3	
Q9C0D9;C9JAG1;A0A087WW58	
Q58DX5;A0A087WW67;Q58DX5-2;C9JQ86;Q6H9J7	
Q14114;Q14114-2;E9PP15;A0A087WW84;Q14114-4;Q14114-3;H0YEA5;H0YEV6;H0YCA4	
A0A087WW89;A0A0B4J1Y9	
O15119;A0A087WW95;O15119-3;O15119-2;Q13207	
A0A087WW96;Q92777;A0A087X2E3;Q92777-2;A0A087WW91	
O60333;A0A087WWA3;O60333-4	+
A0A087WWA5	
A0A087WWB6;C9JCX3;H7C5N2	+
A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WX49;B9A064;A0A0B4J231;A0A087WU42;A0A087X2A1;A0A075B6K8;P0CG04;A0A075B6K7	
B7Z6K7;A0A087WWD1;M0QYA7;M0QY74;M0QYL6;M0R066;M0QZ64;M0R0R0;M0QZ45	+
A0A087WWF0	
A0A087WWF1;Q8WWX9	
P49005;A0A087WWF6;F8W8R3;C9JLE1;C9IZD2;C9J8Z7;C9JHC7;H7C1B3	
Q9NZM4;A0A087WWH3;Q9NZM4-2	
A0A087WWI0;Q9H2I8;M0R2H0;A0A087WZZ7	
A0A087WWI5	
A0A087WWK8;Q6DN90;Q6DN90-2	
A0A087WWM1;P15941;A0A087WVJ0;A0A0A0MSH4;A0A0C4DGW3;A0A087X2A4;P15941-7;P15941-17;P15941-11;P15941-8;P15941-4;P15941-3;P15941-2;B1AVQ7;A0A0A0MRB3;P15941-13;A0A087X061;A0A087WZZ6;Q7Z536;P15941-15;A6ZIE4;A6ZIE3;P15941-12;P15941-16;P15941-9	
Q9P2T1;A0A087WWM4;F8WAN9;Q9P2T1-3;H0YMB3;H0YK13;H0YNH0;H0YK71;H0YLB8;H0YN22;H0YMV5;H0YMW6;H0YNS9;H0YMR9;A0A0B4J281;H0YMG3;H0YL68;H0YKE1	
O43272;E7EQL6;A0A087WWM6;O43272-2;O43272-1	
Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3	
Q5VWQ0;A0A087WWP8;A0A0C4DGT8;A0A0C4DH79;Q5VWQ0-4	
A0A087WWR8;H0YDR1	+
Q96FV9;A0A087WWS1;R4GMN4;Q96FV9-2;A0A087WY84;J3KT14;R4GN58;J3KRD7;J3QQZ3	
Q9NPD7;A0A087WWT2	
Q9H1Z9;A0A087X235;A0A087WWT4;Q6PJ65	
O14595;A0A087WWW2;F8VYL0;H0YI12;F8W1I1;H0YI29	
Q9Y6J0;A0A087WWW8;Q9Y6J0-2;A0A087WXL7;B5MEB3;C9JT60;C9J068	
P63302;A0A087WX02;F8WB74	
Q8N5Z5;H7C323;H0Y731;A0A087WX35;Q8N5Z5-2	
A0A087WX69;A0A087WZF0	+
P55283;A0A087WX99;P55283-2;A0A0G2JRA4	
Q9Y274;C9J480;A0A087WXB8;C9JWJ3;C9IZL6;C9J0E2;Q9Y274-2;C9JXM2;C9J9Y4;C9JMW7;C9JWI9	
O95299;A0A087WXC5;E7ESZ7;O95299-2;C9J6X0;Q8N1B9;H7C2W5;H7C1Y7;H7C2X4	
Q96T83;A0A087WXD1	
A0A087WXE3;H3BS64;A8MYR2;Q9NZV6	
P51608;A0A087WXF0;A0A087X1U4;A0A087WVW7;A0A0D9SFX7;A0A0D9SEX1;C9JH89	+
P47928;A0A087WXF2	
Q9UK53-2;Q9UK53;A0A087WXF7;A0A0C4DFW2;Q9UK53-4;Q9UK53-5;Q9UK53-3	
Q9NP64;E7EPF0;A0A0D9SEW3;A0A087WXF8;Q9NP64-2;Q9NP64-3;A0A087WYV3;A0A087WXU5;A0A087WYF0	
A0A087WXI2;Q9Y6R7;A0A087WUZ2	
Q7Z3F1;A0A087WXK4	
Q9BZC7;Q9BZC7-3;J3QSS3;A0A087WXK5;Q9BZC7-2;H0Y8D6;H0Y8C9;E9PGB2;H0Y8E3	
Q9H4H8;A0A087WXK8;Q9H4H8-2	
A0A087WXL6;B7Z879;A0A0G2JS92;A0A087X2J4	
A0A087WXL8;A0A0C4DH29	
P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3KSJ0	
Q765P7;A0A087WXN9;Q765P7-2;I3L2G4	
A0A087WXR2;Q9Y365;F5H1Z6;F5H8H3;F5H8G1;F5GY11;F5H0V7;H0YFF3;F5GWK5;H0YH17;H0YGA9;F5H5A8;F5H3G8;F5GY07;H0YGN8	
Q5TBB1;A0A087WXR7;Q5TBB1-2;A0A087WZJ6	
P48788;A0A087WXS0;P48788-2	
O43681;A0A087WXS7;K7ERW9	
Q8N344;A0A087WXW2;A0A087WZA4;Q7Z3K6-4;Q7Z3K6-2	
A0A087WXW9;H7BY82	
A0A087WXX8	
Q92637;A6NKC4;P12314;A0A087WXZ6;A0A0A0MRM3;Q92637-3	
Q9UPZ6;A0A087WY08	
Q96CW6;A0A087WY19;I3L4S1	
Q9NP79;A0A087WY55;Q5TGM0;Q9NP79-2	
P51956;A0A087WY58;P51956-2;A0A087X030;A0A087X203	
P29122;H7BXT3;A0A087WZR0;A0A087WY68;P29122-6;P29122-5;P29122-4;P29122-2;P29122-8;P29122-7;H0Y3Q0;A0A087X025;H0YMW5;H0YKZ4;P29122-3	
Q96CW1;Q96CW1-2;A0A087WY71;E9PFW3;C9JJ47;C9JGT8;C9JTK4;C9JJD3;C9JPV8;H7C4C3	
A0A087WY73;Q16378	
P61077;P61077-3;A0A087WY85;P61077-2;D6RFM0;D6RAH7;H9KV45;P62837-2;D6RAW0;D6RA11;D6R9F6;D6R933;D6RGD0;D6R980;D6RIZ3	
Q8N5M9;A0A087WY88	
A0A087WYC5;P01857;A0A0A0MS08;A0A087WSX2	
Q9Y342;H3BN27;A0A087WYE0	
A0A087WYE1	
A0A087WYF1	+
Q6UXV4;A0A087WYF7;A0A087WUX8	
Q9UPT6;E9PFH7;A0A087WYG2;Q9UPT6-2	
P42263;A0A087WYJ6;P42263-2;P42261;P42261-3;P42261-4;P42261-5	
A0A087WYJ9;A0A0G2JQL4;A0A075B6N9;P01871;P01871-2;A0A0B4J1U7	
Q9BYP7;Q9BYP7-2;A0A087WYK2;Q9BYP7-3;Q9BYP7-4	+
A0A087WYL5;Q6UXD5-3;Q6UXD5-5;Q6UXD5;Q6UXD5-6;Q6UXD5-2;H3BN26;Q6UXD5-4	
O75586;G3V4A5;A0A087WYL7;O75586-2;O75586-3	
A0A087WYL9;A0A087WWV8;A0A0C4DH69	
Q7Z478;A0A087WYN9;H0Y8L1	
Q8IZQ5;A0A087WYP2;H0YE28;H3BV83	
A0A087WYP7	
A0A087WYR4;A0A087WZW9	
Q15185;A0A087WYT3;Q15185-4;Q15185-3;B4DDC6;Q15185-2	
Q9Y5X1;A0A087WYU1	
P35556;A0A087WYV8;D6RJI3;P35556-2;E9PHW4;A0A087WV40;D6REJ2	
O75386;A0A087WYY4;O75386-2;F5H7B9;H0YFU8;H0YG12;F5GWL5;O75386-3	
P43694;A0A087WZ09;P43694-2;B3KUF4	
A0A087WZ11;Q6P158-3;A0A087WW12	+
Q8IY67-2;A0A087WZ13;E9PAU2;K7EKR9;Q8IY67-3;K7EQG2	
Q0D2I5;A0A087WZ16;Q0D2I5-7;Q0D2I5-4;Q0D2I5-5;Q0D2I5-3;E9PPX7;F8W8H2;Q0D2I5-2;Q0D2I5-6;J3KNZ4;H0Y4W3;H3BQV1	
A0A087WZ32;A8K727;Q9HB19;A0A087X038;E5RHB5;E5RGP3	
Q14244;Q14244-4;A0A087WZ40;Q14244-5;Q14244-3;Q14244-2;Q14244-6;Q14244-7	
Q9H6U8;A0A087WZ62;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4;A0A087WTZ3;A0A087WVC0;A0A087WZY8;H0YF48;H0YEX8;A0A087WX16;A0A087WV58	
A0A087WZ65;A0A087WX55	
O60296;A0A087WZ79;O60296-2	
Q5T7M9;A0A087X2C2;A0A087WZ97;A0A087WZK6;Q5T7M9-2	
A0A087WZE9;Q15651	
P29966;A0A087WZH7	
A0A087WZH9;A0A0B4J1U0	
A0A087WZL0;Q96C94	+
O00584;D6RHI9;A0A087WZM2;H0YAE9;A0A087WWI1;O00584-2;J3QQ64	
Q8TBM7;A0A087WZM8;Q8TBM7-2;Q8TBM7-3	
O43837;A0A087WZN1;A0A087X2E5;O43837-3;A0A0D9SG66	
Q8NCY6;A0A087WZP0;E9PLV2	
Q9H115;A0A087WZQ7;Q9H115-2;Q9H115-3	
O75015;A0A087WZR4;H0Y4U3;M9MML6;E9PNY5;A0A087WU90	
Q9BY67;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-5;Q9BY67-4;Q9BY67-3;A0A087X0T8;Q9BY67-2;F5H8J9;F5H125;H0YG94	
Q6UX53;A0A087WZT2	
Q99729-3;Q99729-2;D6R9P3;D6RD18;D6RBZ0;A0A087WZV1;Q99729;Q99729-4	
A0A087WZW8;A0A087X1V9;P01834;A0A075B6H6;P04433;A0A087WUS2;A0A0A0MRZ8	
Q86UU0;A0A087WZX0;Q86UU0-4;Q86UU0-2	
Q14031;F5H3Q5;A0A087WZY5;F5H851;A8MXH5;Q14031-2	
Q02094;A0A087WZZ4;A0A0A0MQS8	
A0A087X010;A0A0G2JNK4	
Q9Y496;J3KPF9;A0A087X011;E9PES4;H7C2F6;C9J9X2	
Q9Y3A5;A0A087X020;F8WE72	
Q96MZ0;H0UIB3;Q5TE61;A0A087X057;Q96MZ0-4;H0Y6A7;A0A087WWT8;Q96MZ0-2	
A0A087X079	
Q15413;A0A087X080;Q15413-2;Q15413-3	+
A0A087X082	+
Q16627;Q16627-2;A0A087X089;A0A0B4J2G5	
A0A087X091	
P01160;A0A087X094	
Q5SQN1;A0A087X0B7;H7C3C7;Q5SQN1-2;U3KPT7;A0A087X2J6;H0Y627;Q5SQN1-4;Q5SQN1-3	
P09668;A0A087X0D5;E9PKT6	
Q8NEL9;A0A087X0H7;Q8NEL9-2;Q8NEL9-4;Q8NEL9-3;G3V2P6	
Q5T8P6-3;A0A087X0H9;Q5T8P6-5;Q5T8P6-4;Q5T8P6-6;E2PSN0	
Q9P0L2;B4DIB3;A0A087X0I6;Q9P0L2-3;Q9P0L2-2	
P39059;A0A087X0K0	
A0A087X0K9;H0YLT6	
Q7Z5L2;Q7Z5L2-2;A0A087X0M0;Q7Z5L2-3	
Q9BWU0;A0A087X0M4;A0A087WWF4	
A0A087X0M8;H7C0J0;C9J905;C9JH37;C9JW79;C9JEY3	
A0A087X0N2;O15243	
A0A087X0P6;A0A075B6S2;A0A0A0MRZ7	
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	
A5D8T8;Q8NCF0;A0A087X0Q5;F8W692;F5H550;Q6UXF7;H3BUD1;A0A087WTX4;A0A087X0N6;A0A087WT46;Q8NCF0-2;H3BSF2;A0A087WU79;A0A087WUU6;Q6UXF7-2	
Q9BVL4;A0A087X0Q9	
O15550;F5H6S1;F8W8R6;A0A087X0R0;F5H5V6;H0Y6I7;H0Y5J3;A0A087WUN6	
Q9UMY4;A0A087X0R6;Q9UMY4-2;Q9UMY4-3	
P12109;A0A087X0S5	
A0A087X0T3;A7E2Y1;Q5JW46;Q5JW47;Q5JW48;Q5JW49;Q5JW45	
P43003;A0A087X0U3;P43003-2;A0A087WT87;E7EUS7;E7EUV6;M0QY32;M0R106;P48664-2	
P29728;A0A087X0V5;P29728-2;F8W1C5;P29728-3;F8VPI5	
A0A087X0W7;P49753;A0A087WT95;P49753-2	
Q8N6M0;A0A087X0W9;Q8N6M0-2;A0A0C4DH76	
Q15155;A0A0G2JN29;A0A087X117;A0A0G2JP90;A0A087WW46;H3BUC9;I3L0Q6;H3BTW1	
Q8NF64;E7EWM3;A0A087X127;Q8NF64-3;Q8NF64-2	
A0A087X130	
P81877;A0A087X159;P81877-4;P81877-5;P81877-3;D6RAC5;P81877-2;Q9BWG4;U3KQ46;H0Y9V4;A0A087X244;Q9BWG4-2	
A0A087X178	+
Q9UBW5;F5H0W4;A0A087X188;S4R418;A0A0A0MT10;Q9UBW5-2	
P54252;P54252-2;D3VVH9;A0A087X1A8;G3V3R7;F5H211;P54252-4;G3V328;A0A087WXY4;C9JQV6;P54252-3;G3V4U9;A0A0A0MS38;G3V3T6;S4R399;E9PJN5;G3V2G1;G3V4F5;G3V4F4;G3V5H3;G3V526;G3V2G2;P54252-5;G3V3T0;G3V390;G3V3A6;D6R9I5;G3V4B1;G3V3S5	
Q9Y6K9;A0A087X1B1;Q9Y6K9-2;A0A087X0G7;A0A087WUW6;Q9Y6K9-3;C9JN51;A0A087WV30;C9JH59;C9JCG6	
A0A087X1B2;Q53GS9-2;C9JIU2;A0A087WW31;C9J0X5	+
P10275;A0A087X1B6;A0A0B4J1T2;A0A087WUX9;E9PEG3;A0A087WZ66;E7EVX6;F5GZG9;P10275-2	+
A0A087X1C7	
Q9Y5Q5;A0A087X1D5;J3KR88;J3KR90;E7EQE7;Q9Y5Q5-2;J3KR83	
P53365;A0A087X1E4;P53365-3;P53365-2;E9PRV8;E9PPY7	
Q7Z3E5;A0A087X1I8;Q7Z3E5-2;H7C3U7;H7BZY2;H7BZA2;C9J535;C9JW07;H7C2P6	
Q6ZW13;A0A087X1J0;R4GNF0	
Q2MV58;Q2MV58-2;A0A0A0MRU7;A0A087X1J4;Q2MV58-5;Q2MV58-4;Q2MV58-3;E9PNE4;Q2MV58-6;B4DIB9	
P22352;A0A087X1J7;H0YBE4;O75715;Q6NXQ3;E5RG32;H0YC19	
Q96C00;A0A087X1K1;A0A087X1Z5	
Q9Y2Y9;A0A087X1K6	
A0A087X1K9;E5RJ48;E5RI35	
Q9NS73;S4R3N2;A0A087X1L0;S4R2X9;Q9NS73-3;Q9NS73-2;Q9NS73-5;S4R3Y0;S4R3P6	
O00292;A0A087X1L7;O00292-2;A0A087WW09	
P20929-3;A0A087X1N7;P20929-2;P20929;P20929-4;H0Y786;H7BZD5;H0Y3P5;H7C2B3;H7C2Z5	
A0A087X1R1;C9JQZ8;C9JV14;C9JYU8;C9JBH9	
A0A087X1S3	
A0A087X1T7;H0YM81;E7EX88;P16112;P16112-2;E7ENV9;P16112-3;Q6PID9;H0YMF1	
O15164;A0A087X1V3;O15164-2	
Q96RT8;Q96RT8-2;A0A0G2JQX1;A0A0G2JPW5;A0A0G2JSA7;A0A087X1Z1;A0A0G2JR45;A0A0G2JRG1;A0A0G2JQK2;A0A087WVL9;A0A087X006;A0A0G2JQK7;A0A0G2JQI0;A0A0G2JS51;A0A087WVZ8	
Q9UL46;A0A087X1Z3;H0YM70;H0YKU2;H0YLG1;H0YLD2	
Q8TCG1;A0A087X211;Q8TCG1-2;F8WAX6;F8WF26	
P52803;A0A087X240;D6RDV5	
A0A087X255;A0A087X0X0;C9JZJ7	+
Q2M389;A0A087X256;Q2M389-2;F8W1W1;F8VNZ5	
P09913;A0A087X279	
A0A087X294;O75914-2;O75914;O75914-3;O75914-4;B1AKS5	
Q9NNW5;A0A087X295;E9PDU5;E9PBK6;Q6PKC6;C9K020;C9JFP6;V9GYU1;V9GZ65;F8WE36	
Q8NB25;A0A087X2A7;Q8NB25-3;H0YBC0;A0A0C4DGZ2;H0YBA5;E7EQ67	
Q9NWB1;A0A087X2B1;J3KNW3;Q9NWB1-3;Q9NWB1-2;B7Z1U7;Q9NWB1-4;F8VR27;F8VZY7;F8VZG9;Q9NWB1-5;I3L1D4;A0A0G2JSB3;F8VRS4;J3QQZ2;B0QYY6;F5H0M1	
A0A087X2C0;A0A0B4J1V1;A0A0B4J1U9	
Q9BRJ2;A0A087X2D5;A0A0G2JMS5;A0A087WU62	
P31997;A0A087X2E2	
